time,node,"idleness,t_imp"
108.19999999999813,13,0.7,0.0
108.19999999999813,14,2.600000000000001,0.0
108.19999999999813,15,0.7999999999999999,0.0
108.19999999999813,16,1.4000000000000001,0.0
108.19999999999813,17,1.9000000000000006,0.0
108.19999999999813,18,0.1,0.0
108.19999999999813,19,0.1,0.0
108.19999999999813,20,1.2,2.8
108.19999999999813,21,0.7,0.0
108.19999999999813,22,0.1,0.0
108.19999999999813,23,0.1,0.0
108.19999999999813,24,3.5000000000000018,0.4999999999999982
108.29999999999812,0,3.700000000000002,0.29999999999999805
108.29999999999812,1,0.4,0.0
108.29999999999812,2,0.4,0.0
108.29999999999812,3,0.8999999999999999,0.0
108.29999999999812,4,1.5000000000000002,2.5
108.29999999999812,5,3.1000000000000014,0.0
108.29999999999812,6,2.500000000000001,0.0
108.29999999999812,7,2.0000000000000004,0.0
108.29999999999812,8,1.4000000000000001,0.0
108.29999999999812,9,2.1000000000000005,0.0
108.29999999999812,10,0.30000000000000004,0.0
108.29999999999812,11,0.30000000000000004,0.0
108.29999999999812,12,2.600000000000001,0.0
108.29999999999812,13,0.7999999999999999,0.0
108.29999999999812,14,2.700000000000001,0.0
108.29999999999812,15,0.8999999999999999,0.0
108.29999999999812,16,1.5000000000000002,0.0
108.29999999999812,17,2.0000000000000004,0.0
108.29999999999812,18,0.2,0.0
108.29999999999812,19,0.2,0.0
108.29999999999812,20,1.3,2.7
108.29999999999812,21,0.7999999999999999,0.0
108.29999999999812,22,0.2,0.0
108.29999999999812,23,0.2,0.0
108.29999999999812,24,3.600000000000002,0.39999999999999813
108.39999999999812,0,3.800000000000002,0.19999999999999796
108.39999999999812,1,0.5,0.0
108.39999999999812,2,0.5,0.0
108.39999999999812,3,0.9999999999999999,0.0
108.39999999999812,4,1.6000000000000003,2.3999999999999995
108.39999999999812,5,3.2000000000000015,0.0
108.39999999999812,6,2.600000000000001,0.0
108.39999999999812,7,2.1000000000000005,0.0
108.39999999999812,8,1.5000000000000002,0.0
108.39999999999812,9,2.2000000000000006,0.0
108.39999999999812,10,0.4,0.0
108.39999999999812,11,0.4,0.0
108.39999999999812,12,2.700000000000001,0.0
108.39999999999812,13,0.8999999999999999,0.0
108.39999999999812,14,2.800000000000001,0.0
108.39999999999812,15,0.9999999999999999,0.0
108.39999999999812,16,1.6000000000000003,0.0
108.39999999999812,17,2.1000000000000005,0.0
108.39999999999812,18,0.30000000000000004,0.0
108.39999999999812,19,0.30000000000000004,0.0
108.39999999999812,20,1.4000000000000001,2.5999999999999996
108.39999999999812,21,0.8999999999999999,0.0
108.39999999999812,22,0.30000000000000004,0.0
108.39999999999812,23,0.30000000000000004,0.0
108.39999999999812,24,3.700000000000002,0.29999999999999805
108.49999999999811,0,0.0,0.09999999999999787
108.49999999999811,1,0.0,0.0
108.49999999999811,2,0.6,0.0
108.49999999999811,3,1.0999999999999999,0.0
108.49999999999811,4,1.7000000000000004,2.3
108.49999999999811,5,3.3000000000000016,0.0
108.49999999999811,6,2.700000000000001,0.0
108.49999999999811,7,2.2000000000000006,0.0
108.49999999999811,8,1.6000000000000003,0.0
108.49999999999811,9,2.3000000000000007,0.0
108.49999999999811,10,0.5,0.0
108.49999999999811,11,0.5,0.0
108.49999999999811,12,2.800000000000001,0.0
108.49999999999811,13,0.9999999999999999,0.0
108.49999999999811,14,2.9000000000000012,0.0
108.49999999999811,15,1.0999999999999999,0.0
108.49999999999811,16,1.7000000000000004,0.0
108.49999999999811,17,2.2000000000000006,0.0
108.49999999999811,18,0.4,0.0
108.49999999999811,19,0.4,0.0
108.49999999999811,20,1.5000000000000002,2.5
108.49999999999811,21,0.9999999999999999,0.0
108.49999999999811,22,0.4,0.0
108.49999999999811,23,0.4,0.0
108.49999999999811,24,3.800000000000002,0.19999999999999796
108.5999999999981,0,0.1,3.9
108.5999999999981,1,0.1,0.0
108.5999999999981,2,0.7,0.0
108.5999999999981,3,1.2,0.0
108.5999999999981,4,1.8000000000000005,2.1999999999999993
108.5999999999981,5,3.4000000000000017,0.0
108.5999999999981,6,2.800000000000001,0.0
108.5999999999981,7,2.3000000000000007,0.0
108.5999999999981,8,1.7000000000000004,0.0
108.5999999999981,9,2.400000000000001,0.0
108.5999999999981,10,0.6,0.0
108.5999999999981,11,0.0,0.0
108.5999999999981,12,0.0,0.0
108.5999999999981,13,1.0999999999999999,0.0
108.5999999999981,14,3.0000000000000013,0.0
108.5999999999981,15,1.2,0.0
108.5999999999981,16,1.8000000000000005,0.0
108.5999999999981,17,2.3000000000000007,0.0
108.5999999999981,18,0.5,0.0
108.5999999999981,19,0.0,0.0
108.5999999999981,20,1.6000000000000003,2.3999999999999995
108.5999999999981,21,1.0999999999999999,0.0
108.5999999999981,22,0.5,0.0
108.5999999999981,23,0.5,0.0
108.5999999999981,24,0.0,0.09999999999999787
108.6999999999981,0,0.2,3.8
108.6999999999981,1,0.2,0.0
108.6999999999981,2,0.7999999999999999,0.0
108.6999999999981,3,1.3,0.0
108.6999999999981,4,1.9000000000000006,2.0999999999999996
108.6999999999981,5,3.5000000000000018,0.0
108.6999999999981,6,2.9000000000000012,0.0
108.6999999999981,7,2.400000000000001,0.0
108.6999999999981,8,1.8000000000000005,0.0
108.6999999999981,9,2.500000000000001,0.0
108.6999999999981,10,0.7,0.0
108.6999999999981,11,0.1,0.0
108.6999999999981,12,0.1,0.0
108.6999999999981,13,1.2,0.0
108.6999999999981,14,3.1000000000000014,0.0
108.6999999999981,15,1.3,0.0
108.6999999999981,16,1.9000000000000006,0.0
108.6999999999981,17,2.400000000000001,0.0
108.6999999999981,18,0.0,0.0
108.6999999999981,19,0.1,0.0
108.6999999999981,20,1.7000000000000004,2.3
108.6999999999981,21,1.2,0.0
108.6999999999981,22,0.6,0.0
108.6999999999981,23,0.0,0.0
108.6999999999981,24,0.1,3.9
108.7999999999981,0,0.30000000000000004,3.7
108.7999999999981,1,0.30000000000000004,0.0
108.7999999999981,2,0.8999999999999999,0.0
108.7999999999981,3,1.4000000000000001,0.0
108.7999999999981,4,2.0000000000000004,1.9999999999999996
108.7999999999981,5,3.600000000000002,0.0
108.7999999999981,6,3.0000000000000013,0.0
108.7999999999981,7,2.500000000000001,0.0
108.7999999999981,8,1.9000000000000006,0.0
108.7999999999981,9,2.600000000000001,0.0
108.7999999999981,10,0.7999999999999999,0.0
108.7999999999981,11,0.2,0.0
108.7999999999981,12,0.2,0.0
108.7999999999981,13,1.3,0.0
108.7999999999981,14,3.2000000000000015,0.0
108.7999999999981,15,1.4000000000000001,0.0
108.7999999999981,16,2.0000000000000004,0.0
108.7999999999981,17,2.500000000000001,0.0
108.7999999999981,18,0.1,0.0
108.7999999999981,19,0.2,0.0
108.7999999999981,20,1.8000000000000005,2.1999999999999993
108.7999999999981,21,1.3,0.0
108.7999999999981,22,0.7,0.0
108.7999999999981,23,0.1,0.0
108.7999999999981,24,0.2,3.8
108.89999999999809,0,0.4,3.6
108.89999999999809,1,0.4,0.0
108.89999999999809,2,0.9999999999999999,0.0
108.89999999999809,3,1.5000000000000002,0.0
108.89999999999809,4,2.1000000000000005,1.8999999999999995
108.89999999999809,5,3.700000000000002,0.0
108.89999999999809,6,3.1000000000000014,0.0
108.89999999999809,7,2.600000000000001,0.0
108.89999999999809,8,2.0000000000000004,0.0
108.89999999999809,9,2.700000000000001,0.0
108.89999999999809,10,0.8999999999999999,0.0
